hari_ke,dates,total_cases,recovered,deaths,treated,daily_cases,daily_recovered,daily_deaths,daily_treated,pct_recovered,pct_deaths,pct_treated,examined_specimen,total_examined_specimen,negative,daily_new_specimen,pdp,odp,penambahan_kasus_terkonfirmasi_terkini,kasus_sedang_investigasi_lapangan,jumlah_spesimen_diperiksa_terkini,jumlah_kasus_diperiksa_spesimen_terkini,kasus_diperiksa_spesimen_baru_harian_terkini,hasil_positif_terkini,hasil_negatif_terkini,pdp_terkini,odp_terkini,jumlah_provinsi_terdampak,jumlah_kab_kot_terdampak,pembaruan_terakhir,fid
1,2020-03-02,2,0,0,2,2,0,0,2,0,0,100,NA,339,335,0,NA,NA,973,21,219975,160374,6235,20161,140212,11066,50187,34,392,2020-05-21T09:01:32Z,1
2,2020-03-03,2,0,0,2,0,0,0,0,0,0,100,NA,341,337,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
3,2020-03-04,2,0,0,2,0,0,0,0,0,0,100,NA,372,356,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
4,2020-03-05,2,0,0,2,0,0,0,0,0,0,100,NA,388,371,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
5,2020-03-06,4,0,0,4,2,0,0,2,0,0,100,NA,450,422,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
6,2020-03-07,4,0,0,4,0,0,0,0,0,0,100,NA,454,422,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
7,2020-03-08,6,0,0,6,2,0,0,2,0,0,100,NA,483,445,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
8,2020-03-09,19,0,0,19,13,0,0,13,0,0,100,NA,543,487,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
9,2020-03-10,27,2,0,25,8,2,0,6,7.407407407,0,92.59259259,NA,694,648,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
10,2020-03-11,34,2,1,31,7,0,1,6,5.882352941,2.941176471,91.17647059,NA,793,744,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
11,2020-03-12,34,2,1,31,0,0,0,0,5.882352941,2.941176471,91.17647059,NA,862,811,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
12,2020-03-13,69,2,4,63,35,0,3,32,2.898550725,5.797101449,91.30434783,NA,1005,917,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
13,2020-03-14,96,8,5,83,27,6,1,20,8.333333333,5.208333333,86.45833333,NA,1205,1109,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
14,2020-03-15,117,8,5,104,21,0,0,21,6.837606838,4.273504274,88.88888889,NA,1293,1167,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
15,2020-03-16,134,8,5,121,17,0,0,17,5.970149254,3.731343284,90.29850746,NA,1230,1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
16,2020-03-17,172,9,5,158,38,1,0,37,5.23255814,2.906976744,91.86046512,NA,1372,1178,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
17,2020-03-18,227,11,19,197,55,2,14,39,4.845814978,8.370044053,86.78414097,NA,1592,1342,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
18,2020-03-19,309,15,25,269,82,4,6,72,4.854368932,8.090614887,87.05501618,NA,1898,1570,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
19,2020-03-20,369,17,32,320,60,2,7,51,4.60704607,8.672086721,86.72086721,NA,2028,1643,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
20,2020-03-21,450,20,38,392,81,3,6,72,4.444444444,8.444444444,87.11111111,NA,2365,1895,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
21,2020-03-22,514,29,48,437,64,9,10,45,5.642023346,9.338521401,85.01945525,NA,2438,1904,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
22,2020-03-23,579,30,49,500,65,1,1,63,5.18134715,8.462867012,86.35578584,NA,2756,2177,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
23,2020-03-24,686,30,55,601,106,0,6,101,4.373177843,8.017492711,87.60932945,NA,3332,2625,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
24,2020-03-25,790,31,58,701,105,1,3,100,3.924050633,7.341772152,88.73417722,NA,3822,3032,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
25,2020-03-26,893,35,78,780,103,4,20,79,3.9193729,8.734602464,87.34602464,NA,4336,3443,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
26,2020-03-27,1046,46,87,913,153,11,9,133,4.397705545,8.317399618,87.28489484,NA,5775,4729,1439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
27,2020-03-28,1155,59,102,994,109,13,15,81,5.108225108,8.831168831,86.06060606,NA,6266,5111,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
28,2020-03-29,1285,64,114,1107,130,5,12,113,4.980544747,8.871595331,86.14785992,NA,6534,5249,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
