"country","total_cases","new_cases","total_deaths","new_deaths","total_recovered","active_cases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","total_tests","tests_1m_pop","population","continent","fatality_rate","population_2020","yearly_change","net_change","density_km2","land_area_km2","migrants_net","fert_rate","med_age","urban_pop_percent","world_share"
"USA",1828806,11986,105927,370,539173,1183706,17163,5528,320,17505657,52913,330838184,"North America",0.0579,331002651,0.0059,1937734,36,9147420,954806,1.7764,38,0.828,0.042
"Brazil",501985,3545,28872,38,205371,267742,8318,2363,136,930013,4378,212430396,"South America",0.0575,212559417,0.0072,1509890,25,8358140,21200,1.74,33,0.876,0.027
"Russia",405843,9268,4693,138,171883,229267,2300,2781,32,10643124,72933,145929337,"Europe",0.0116,145934462,0.0004,62206,9,16376870,182456,1.8205,40,0.737,0.019
"Spain",286509,201,27127,2,196958,62424,617,6128,580,4063843,86921,46753295,"Europe",0.0947,46754778,0.0004,18002,94,498800,40000,1.33,45,0.803,0.006
"UK",274762,1936,38489,113,0,0,1559,4049,567,4285738,63159,67855909,"Europe",0.1401,67886011,0.0053,355839,281,241930,260650,1.75,40,0.832,0.009
"Italy",232997,333,33415,75,157507,42075,435,3853,553,3878739,64144,60469020,"Europe",0.1434,60461826,-0.0015,-88249,206,294140,148943,1.33,47,0.695,0.008
"India",190603,8776,5406,221,91830,93367,8944,138,4,3737027,2710,1378826256,"Asia",0.0284,1380004385,0.0099,13586631,464,2973190,-532687,2.2402,28,0.35,0.177
"France",188882,257,28802,31,68355,91725,1319,2894,441,1384633,21217,65261548,"Europe",0.1525,65273511,0.0022,143783,119,547557,36527,1.8523,42,0.815,0.008
"Germany",183452,158,8602,2,165200,9650,720,2190,103,3952971,47193,83761616,"Europe",0.0469,83783942,0.0032,266897,240,348560,543822,1.586,46,0.763,0.011
"Turkey",163942,839,4540,25,127973,31429,648,1946,54,2039194,24201,84259813,"Asia",0.0277,84339067,0.0109,909452,110,769630,283922,2.08,32,0.757,0.011
"Peru",155671,0,4371,0,66447,84853,960,4727,133,1012708,30752,32930962,"South America",0.0281,32971854,0.0142,461401,26,1280000,99069,2.27,31,0.791,0.004
"Iran",151466,2516,7797,63,118848,24821,2527,1805,93,935894,11155,83897889,"Asia",0.0515,83992949,0.013,1079043,52,1628550,-55000,2.15,32,0.755,0.011
"Chile",99688,4830,1054,57,42727,55907,1383,5219,55,582440,30491,19102061,"South America",0.0106,19116201,0.0087,164163,26,743532,111708,1.65,35,0.848,0.002
"Canada",90928,738,7294,221,48839,34795,1618,2411,193,1634277,43334,37713606,"North America",0.0802,37742154,0.0089,331107,4,9093510,242032,1.525,41,0.813,0.005
"Mexico",87512,2885,9779,364,61871,15862,378,679,76,270992,2104,128814639,"North America",0.1117,128932753,0.0106,1357224,66,1943950,-60000,2.14,29,0.838,0.017
"Saudi Arabia",85261,1877,503,23,62442,22316,384,2452,14,822769,23667,34765118,"Asia",0.0059,34813871,0.0159,545343,16,2149690,134979,2.34,32,0.84,0.004
"Pakistan",69496,3039,1483,88,25271,42742,111,315,7,547030,2481,220497647,"Asia",0.0213,220892340,0.02,4327022,287,770880,-233379,3.55,23,0.351,0.028
"Belgium",58381,195,9467,14,15887,33027,168,5039,817,866497,74792,11585389,"Europe",0.1622,11589623,0.0044,50295,383,30280,48000,1.7148,42,0.983,0.001
"Qatar",56910,1648,38,2,30290,26582,232,19783,13,222069,77197,2876643,"Asia",0.0007,2881053,0.0173,48986,248,11610,40000,1.8805,32,0.962,0
"Bangladesh",47153,2545,650,40,9781,36722,1,287,4,308940,1878,164546795,"Asia",0.0138,164689383,0.0101,1643222,1265,130170,-369501,2.052,28,0.394,0.021
"Netherlands",46442,185,5956,5,0,0,159,2711,348,349150,20380,17131732,"Europe",0.1282,17134872,0.0022,37742,508,33720,16000,1.66,43,0.925,0.002
"Belarus",42556,898,235,6,18514,23807,92,4503,25,541093,57261,9449576,"Europe",0.0055,9449323,-0.0003,-3088,47,202910,8730,1.7099,40,0.792,0.001
"Ecuador",38571,0,3334,0,19190,16047,220,2189,189,113808,6459,17619020,"South America",0.0864,17643054,0.0155,269392,71,248360,36400,2.44,28,0.63,0.002
"Sweden",37542,429,4395,0,4971,28176,228,3719,435,238800,23658,10093917,"Europe",0.1171,10099265,0.0063,62886,25,410340,40000,1.85,41,0.882,0.001
"Singapore",34884,518,23,0,21699,13162,8,5967,4,334691,57247,5846395,"Asia",0.0007,5850342,0.0079,46005,8358,700,27028,1.209,42,,0.001
"UAE",34557,661,264,2,17932,16361,1,3498,27,2110493,213615,9879882,"Asia",0.0076,9890402,0.0123,119873,118,83600,40000,1.42,33,0.864,0.001
"South Africa",32683,1716,683,40,16809,15191,128,552,12,725125,12240,59242648,"Africa",0.0209,59308690,0.0128,750420,49,1213090,145405,2.4139,28,0.667,0.008
"Portugal",32500,297,1410,14,19409,11681,64,3187,138,795838,78030,10199093,"Europe",0.0434,10196709,-0.0029,-29478,111,91590,-6000,1.288,46,0.665,0.001
"Switzerland",30862,17,1920,1,28400,542,28,3568,222,397691,45980,8649211,"Europe",0.0622,8654622,0.0074,63257,219,39516,52000,1.535,43,0.741,0.001
"Colombia",28236,0,890,0,7121,20225,136,555,18,319779,6290,50835558,"South America",0.0315,50882891,0.0108,543448,46,1109500,204796,1.82,31,0.804,0.007
"Kuwait",27043,851,212,7,11386,15445,200,6341,50,290013,68000,4264919,"Asia",0.0078,4270571,0.0151,63488,240,17820,39520,2.1,37,,0.001
"Indonesia",26473,700,1613,40,7308,17552,0,97,6,323376,1183,273271317,"Asia",0.0609,273523615,0.0107,2898047,151,1811570,-98955,2.3195,30,0.564,0.035
"Ireland",24990,61,1652,1,22089,1249,36,5066,335,325795,66045,4932957,"Europe",0.0661,4937786,0.0113,55291,72,68890,23604,1.8409,38,0.63,0.001
"Egypt",24985,1536,959,46,6810,17216,41,245,9,135000,1321,102157382,"Africa",0.0384,102334404,0.0194,1946331,103,995450,-38033,3.33,25,0.43,0.013
"Poland",23786,215,1064,3,11271,11451,160,628,28,915546,24189,37849973,"Europe",0.0447,37846611,-0.0011,-41157,124,306230,-29395,1.4202,42,0.602,0.005
"Ukraine",23672,468,708,12,9538,13426,278,541,16,356565,8149,43754416,"Europe",0.0299,43733762,-0.0059,-259876,75,579320,10000,1.4435,41,0.694,0.006
"Romania",19257,124,1266,7,13256,4735,160,1000,66,439197,22818,19247736,"Europe",0.0657,19237691,-0.0066,-126866,84,230170,-73999,1.6198,43,0.546,0.002
"Philippines",18086,862,957,7,3909,13220,73,165,9,347592,3176,109451714,"Asia",0.0529,109581078,0.0135,1464463,368,298170,-67152,2.58,26,0.475,0.014
"Dominican Republic",17285,377,502,4,10559,6224,110,1595,46,81647,7533,10838453,"North America",0.029,10847910,0.0101,108952,225,48320,-30000,2.36,28,0.845,0.001
"Israel",17071,59,285,1,14812,1974,39,1856,31,568452,61804,9197590,"Asia",0.0167,8655535,0.016,136158,400,21640,10000,3.044,30,0.932,0.001
"Japan",16804,0,886,0,14406,1512,123,133,7,287754,2275,126507477,"Asia",0.0527,126476461,-0.003,-383840,347,364555,71560,1.3697,48,0.918,0.016
"Austria",16731,46,668,0,15593,470,27,1859,74,448534,49826,9002048,"Europe",0.0399,9006398,0.0057,51296,109,82409,65000,1.5292,43,0.573,0.001
"Argentina",16214,0,530,2,5336,10348,259,359,12,160070,3545,45159906,"South America",0.0327,45195774,0.0093,415097,17,2736690,4800,2.268,32,0.928,0.006
"Afghanistan",15205,680,257,8,1328,13620,19,391,7,38460,990,38846163,"Asia",0.0169,38928346,0.0233,886592,60,652860,-62920,4.5552,18,0.254,0.005
"Panama",13018,0,330,0,9414,3274,78,3021,77,66192,15363,4308653,"North America",0.0253,4314767,0.0161,68328,58,74340,11200,2.4688,30,0.68,0.001
"Denmark",11669,36,574,3,10362,733,20,2015,99,628965,108620,5790499,"Europe",0.0492,5792202,0.0035,20326,137,42430,15200,1.7621,42,0.882,0.001
"S. Korea",11468,27,270,1,10405,793,15,224,5,910822,17767,51265561,"Asia",0.0235,51269185,0.0009,43877,527,97230,11731,1.11,44,0.818,0.007
